,area,city,country,latitude,longitude,hotel_star_rating,mmt_location_rating,mmt_review_count,mmt_review_rating,mmt_review_score,mmt_traveller_type_review_count,Couple,Solo,Friends,Business,pageurl,property_address,property_name,property_type,room_types,state,traveller_rating
1628,South Delhi,New Delhi And NCR,India,28.561709,77.258667,3,Location:4.5,28,Excellent:17|Very Good:2|Average:2|Poor:7|Terrible:0,4.2,Family:11,7,9,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201004161753423385&i=|1,"B-11, Captain Gaur Marg, B Block, East of Kailash, Near Lajpat Nagar Market, New Delhi - 110065. South delhi",Cosy Palace,Hotel,Deluxe|Superior Room,Delhi,Location:4.5/5 | Hospitality:4.0/5 | Facilities:4.1/5 | Cleanliness:4.1/5 | Value for Money:4.0/5 | Food:2.8/5
1629,Greater Noida,New Delhi And NCR,India,28.476276,77.524027,4,Location:4.2,5,Excellent:1|Very Good:2|Average:0|Poor:2|Terrible:0,3.6,Family:2,1,1,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201201301419395293&i=|1,"R - 4, Sec 20, Near City Park Near City Park, Greater Noida",Grand Heritage Resort,Hotel,Deluxe|Executive Room|Upgraded Super Deluxe,Delhi,Location:4.2/5 | Hospitality:3.4/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.4/5 | Food:0.6/5
1630,New Delhi Railway Station,New Delhi And NCR,India,28.64632,77.213784,2,Location:3.3,3,Excellent:1|Very Good:0|Average:1|Poor:1|Terrible:0,3.5,Family:1,1,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201410292000212437&i=|1,"8120 - 8186/7, Arakashan Road, Paharganj, New Delhi 110055 New Delhi Railway Station",Hotel Yatri International,Hotel,Non Ac Room|Deluxe Non Ac|Deluxe Ac|Super Deluxe Non Ac|Super Deluxe Ac|Tripple Bed Non Ac|Tripple Bed Ac|Family Room Non Ac|Family Room Ac,Delhi,Location:3.3/5 | Hospitality:3.3/5 | Facilities:3.3/5 | Cleanliness:3.7/5 | Value for Money:3.3/5 | Food:2.7/5
1631,Karol Bagh,New Delhi And NCR,India,28.6456,77.1886,3,Location:4.4,163,Excellent:72|Very Good:27|Average:22|Poor:39|Terrible:3,3.9,Family:40,40,51,1,2,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200907291019251958&i=|1,15A/26 WEA Ajmal Khan road Karol Bagh,Hotel Delhi Darbar,Hotel,Deluxe|Premium Room,Delhi,Location:4.4/5 | Hospitality:3.9/5 | Facilities:3.6/5 | Cleanliness:2.6/5 | Value for Money:3.9/5 | Food:2.6/5
1632,Karol Bagh,New Delhi And NCR,India,28.64505,77.189792,3,Location:4.2,67,Excellent:18|Very Good:11|Average:16|Poor:22|Terrible:0,3.6,Family:13,14,18,1,7,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201009141443144250&i=|1,"17A/2, W.E.A. Karol Bagh, Karol Bagh Metro Pillar No 98 and 99 (Behind St. Thomas School) Karol Bagh Metro Pillar 98 & 99 (Behind St. Thomas School)",Spb 87,Hotel,Deluxe Ac.|Super Deluxe.|Executive,New Delhi,Location:4.2/5 | Hospitality:3.6/5 | Facilities:3.3/5 | Cleanliness:3.1/5 | Value for Money:3.5/5 | Food:2.2/5
1633,Paharganj,New Delhi And NCR,India,28.643594,77.210714,2,Location:4.5,4,Excellent:3|Very Good:0|Average:1|Poor:0|Terrible:0,4.7,Family:1,3,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201410311943339076&i=|1,"2712, Street Number 8, Chuna Mandi, Paharganj, New Delhi, Delhi 110055 Chuna Mandi Paharganj New Delhi",Hotel Tashkent Palace,Hotel,Deluxe,Delhi,Location:4.5/5 | Hospitality:4.8/5 | Facilities:4.5/5 | Cleanliness:3.8/5 | Value for Money:4.8/5 | Food:2.2/5
1634,Karol Bagh,New Delhi And NCR,India,28.645948,77.215499,3,Location:3.9,89,Excellent:20|Very Good:10|Average:28|Poor:22|Terrible:9,3.4,Family:28,22,20,1,5,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201106211107204751&i=|1,"8518-22, Arakshan Rd, 5 min to New Delhi Railway Station Pahar Ganj, New Delhi Railway Station",Hotel Shivdev International,Hotel,Standard Room|Executive|Deluxe Double|Super Deluxe Room|Family Room,New Delhi,Location:3.9/5 | Hospitality:3.1/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.1/5 | Food:2.0/5
1635,Karol Bagh,New Delhi And NCR,India,28.657675,77.18291,1,Location:3.7,28,Excellent:13|Very Good:3|Average:5|Poor:6|Terrible:1,3.8,Family:4,3,16,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201412072135164690&i=|1,"17B/21, Dev Nagar, Desh Bandhu Gupta Road, Karol Bgah, New Delhi.",Hotel Sunshine Karol Bagh,Hotel,Non Ac Single Room|Ac Deluxe|Ac Triple Room|Ac Family Room,Delhi,Location:3.7/5 | Hospitality:3.9/5 | Facilities:3.7/5 | Cleanliness:3.8/5 | Value for Money:3.9/5 | Food:1.8/5
1636,Jasola,New Delhi And NCR,India,28.5480867,77.2929513,3,Location:5.0,3,Excellent:0|Very Good:1|Average:1|Poor:1|Terrible:0,3.4,Family:0,1,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=20141031190204485&i=|1,"Plot No 4, Pocket 2 Jasola",Hotel Manzil,Hotel,Deluxe,Delhi,Location:5.0/5 | Hospitality:3.3/5 | Facilities:3.0/5 | Cleanliness:3.0/5 | Value for Money:3.3/5 | Food:1.7/5
1637,Dwarka,New Delhi And NCR,India,28.596411,77.036326,5,Location:4.2,637,Excellent:352|Very Good:115|Average:119|Poor:41|Terrible:10,4.3,Family:145,157,163,20,87,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201201151306089659&i=|1,"Plot No.-4, Dwarka Sector-13 Dwarka City centre, Near IGI Airport",Radisson Blu Hotel Dwarka,Hotel,Superior Room|Business Class Room|Executive Suite,New Delhi,Location:4.2/5 | Hospitality:4.1/5 | Facilities:4.3/5 | Cleanliness:4.4/5 | Value for Money:4.1/5 | Food:3.4/5
1638,Noida,New Delhi And NCR,India,28.5774,77.3366,2,Location:4.7,9,Excellent:5|Very Good:2|Average:0|Poor:2|Terrible:0,4.2,Family:1,0,5,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201201181243307926&i=|1,"D-77, Sector-26, Main Road Sector 26 , Noida",Hotel Kashish Residency,Hotel,Deluxe.|Super Deluxe.,New Delhi,Location:4.7/5 | Hospitality:4.1/5 | Facilities:3.9/5 | Cleanliness:4.1/5 | Value for Money:4.1/5 | Food:3.1/5
1639,Paharganj,New Delhi And NCR,India,28.646121,77.214423,2,Location:3.1,19,Excellent:3|Very Good:0|Average:2|Poor:7|Terrible:7,2.5,Family:1,3,10,2,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201304261130375408&i=|1,"7977/2/3, Arakashan Rd, Arya Nagar Paharganj",Hotel Neha Inn,Hotel,Standard Single Room|Standard Double Room|Deluxe Single Room|Deluxe Double Room|Standard Triple Room|Standard Four Bed Room|Deluxe Triple Room|Deluxe Four Bed Room,New Delhi,Location:3.1/5 | Hospitality:2.6/5 | Facilities:2.2/5 | Cleanliness:2.3/5 | Value for Money:2.5/5 | Food:2.1/5
1640,Mahipalpur,New Delhi And NCR,India,28.544869,77.128135,2,Location:5.0,1,Excellent:0|Very Good:0|Average:0|Poor:1|Terrible:0,2.5,Family:0,0,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201106171451145113&i=|1,"A-15, Road No 2, Mahipalpur,",Hotel Parikshit Palace,Hotel,Deluxe,New Delhi,Location:5.0/5 | Hospitality:2.0/5 | Facilities:2.0/5 | Cleanliness:2.0/5 | Value for Money:2.0/5 | Food:0.0/5
1641,Noida,New Delhi And NCR,India,28.580114,77.315334,4,Location:4.6,99,Excellent:56|Very Good:13|Average:20|Poor:10|Terrible:0,4.3,Family:17,24,37,2,11,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201008131548081776&i=|1,"A-79 A, Sector 16, Sector 16 , Noida",Savoy Suites,Hotel,One Bedroom Suite,Utter Pradesh,Location:4.6/5 | Hospitality:4.0/5 | Facilities:4.2/5 | Cleanliness:4.3/5 | Value for Money:4.0/5 | Food:2.1/5
1642,Dwarka,New Delhi And NCR,India,28.585727,77.069891,3,Location:3.8,43,Excellent:19|Very Good:6|Average:9|Poor:7|Terrible:2,3.9,Family:9,8,17,0,2,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201101281740201010&i=|1,"C-928, Sector-7, Dwarka, Near Ramphal Chowk Dwarka , West Delhi",Gokul Residency,Hotel,Deluxe Double|Suite,Delhi,Location:3.8/5 | Hospitality:4.1/5 | Facilities:3.7/5 | Cleanliness:3.1/5 | Value for Money:4.0/5 | Food:2.1/5
1643,South Goa,Goa,India,15.223037,73.944103,3,Location:2.8,5,Excellent:2|Very Good:0|Average:0|Poor:2|Terrible:1,3.2,Family:3,1,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201201091141558757&i=|1,"466, Guneavaddo,Varca,Salcettte Varca Beach, South Goa",United 21 Emerald Goa,Hotel,Luxury Deluxe,Goa,Location:2.8/5 | Hospitality:3.6/5 | Facilities:3.2/5 | Cleanliness:3.6/5 | Value for Money:3.6/5 | Food:2.6/5
1644,North Goa,Goa,India,15.513079,73.769206,4,Location:4.6,37,Excellent:20|Very Good:6|Average:9|Poor:2|Terrible:0,4.3,Family:15,21,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201405101515337056&i=|1,"H.No. 586/A, Sequeira Waddo, Candolim Bus Stop Junction, Village Candolim Candolim, North Goa","The Acacia Hotel & Spa, Goa",Hotel,Superior|Deluxe Room|Suite Room,Goa,Location:4.6/5 | Hospitality:4.2/5 | Facilities:4.1/5 | Cleanliness:3.6/5 | Value for Money:4.2/5 | Food:2.8/5
1645,North Goa,Goa,India,15.556244,73.752926,2,Location:4.4,117,Excellent:25|Very Good:23|Average:33|Poor:22|Terrible:14,3.4,Family:22,46,14,8,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201301021331243601&i=|1,"Opp Titos Lane, Next to Ronil hotel Saunto Vaddo, Baga",Hotel Sai Baga,Hotel,Deluxe Room,Maharashtra,Location:4.4/5 | Hospitality:3.4/5 | Facilities:3.1/5 | Cleanliness:3.0/5 | Value for Money:3.4/5 | Food:2.3/5
1646,South Delhi,New Delhi And NCR,India,28.536617,77.239085,3,Location:4.6,18,Excellent:6|Very Good:3|Average:2|Poor:5|Terrible:2,3.6,Family:3,10,5,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201210181321334286&i=|1,"E-514, Greater Kailash, Part-2, Greater Kailash Part 2",Hotel GTC,Hotel,Executive|Deluxe|Super Deluxe,New Delhi,Location:4.6/5 | Hospitality:3.4/5 | Facilities:3.3/5 | Cleanliness:3.6/5 | Value for Money:3.4/5 | Food:2.5/5
1647,South Goa,Goa,India,15.284064,73.9594,3,Location:4.9,27,Excellent:19|Very Good:5|Average:3|Poor:0|Terrible:0,4.6,Family:5,3,13,3,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201109261108065857&i=|1,"Margao-Panaji Highway, Opp. Kadamba Bus Terminus Margao",The Sapphire Comfort,Hotel,Comfort Room|Luxury Room|Executive Suite|Sapphire Suite,Goa,Location:4.9/5 | Hospitality:4.6/5 | Facilities:4.4/5 | Cleanliness:4.7/5 | Value for Money:4.6/5 | Food:2.6/5
